[TAILING] Tailing last 100 lines for [csautobot-backend] process (change the value with --lines option)
C:\Users\Administrator\.pm2\logs\csautobot-backend-out.log last 100 lines:
0|csautobo | 2026-06-18 18:43 +09:00: ChatGoogleGenerativeAI failed in quotation service: Error calling model 'gemini-1.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
0|csautobo | 2026-06-18 18:43 +09:00: Both LLM services failed or returned empty. Falling back to offline quotation draft.
0|csautobo | 2026-06-18 18:43 +09:00: INFO:     115.139.182.217:55639 - "POST /api/v1/quotation/draft HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 18:44 +09:00: Warning: Dense retrieval failed, falling back to sparse. Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
0|csautobo | 2026-06-18 18:44 +09:00: Warning: Rerank by embedding failed, using original order. Error: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
0|csautobo | 2026-06-18 18:44 +09:00: ChatGoogleGenerativeAI failed in quotation service: Error calling model 'gemini-1.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
0|csautobo | 2026-06-18 18:44 +09:00: Both LLM services failed or returned empty. Falling back to offline quotation draft.
0|csautobo | 2026-06-18 18:44 +09:00: INFO:     115.139.182.217:61916 - "POST /api/v1/quotation/draft HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 19:18 +09:00: INFO:     127.0.0.1:50294 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 19:22 +09:00: INFO:     127.0.0.1:50493 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 19:30 +09:00: INFO:     115.139.182.217:60559 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 19:30 +09:00: INFO:     127.0.0.1:50864 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 19:33 +09:00: INFO:     127.0.0.1:51063 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 19:37 +09:00: INFO:     127.0.0.1:51284 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 20:23 +09:00: INFO:     127.0.0.1:53347 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 21:31 +09:00: INFO:     127.0.0.1:56360 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 21:35 +09:00: INFO:     127.0.0.1:56538 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 21:49 +09:00: INFO:     115.139.182.217:54643 - "GET /api/v1/dashboard/stats HTTP/1.1" 200 OK
0|csautobo | 2026-06-18 21:49 +09:00: INFO:     127.0.0.1:57167 - "GET / HTTP/1.1" 200 OK
0|csautobo | 2026-06-19 10:47 +09:00: INFO:     127.0.0.1:62353 - "GET / HTTP/1.1" 200 OK
